0,212273
1,189786
2,134118
3,76102
4,52277
5,39099
6,31477
7,26181
8,22614
9,19899
10,17887
11,16230
12,14974
13,13903
14,13071
15,12320
16,11669
17,11149
18,10710
19,10226
20,9890
21,9520
22,9213
23,8907
24,8709
25,8485
26,8269
27,8070
28,7896
29,7710
30,7554
31,7430
32,7319
33,7184
34,7076
35,6958
36,6866
37,6768
38,6680
39,6626
40,6544
41,6454
42,6385
43,6290
44,6233
45,6179
46,6141
47,6069
48,6014
49,5965
50,5938
51,5898
52,5865
53,5806
54,5753
55,5711
56,5667
57,5640
58,5622
59,5586
60,5557
61,5522
62,5496
63,5458
64,5427
65,5396
66,5380
67,5359
68,5339
69,5320
70,5291
71,5266
72,5237
73,5211
74,5189
75,5175
76,5167
77,5162
78,5143
79,5127
80,5101
81,5083
82,5058
83,5047
84,5030
85,5015
86,5000
87,4985
88,4967
89,4948
90,4927
91,4913
92,4899
93,4881
94,4872
95,4861
96,4846
97,4834
98,4824
99,4811
